
COUNTER	STR O3 O2 O1 O0		COUNTER xnor STR(4)
00000	0   1  1  1  1		00000 xnor 0000 = 01111	
00001	0   1  1  1  0		00001 xnor 0000 = 01110
00010	0   1  1  0  1		00010 xnor 0000 = 01101
00011	0   1  1  0  0		00011 xnor 0000 = 01100
00100	0   1  0  1  1		00100 xnor 0000 = 01011
00101	0   1  0  1  0		00101 xnor 0000 = 01010
00110	0   1  0  0  1		00110 xnor 0000 = 01001
00111	0   1  0  0  0		00111 xnor 0000 = 01000
01000	0   0  1  1  1		01000 xnor 0000 = 00111
01001	0   0  1  1  0		01001 xnor 0000 = 00110
01010	0   0  1  0  1		01010 xnor 0000 = 00101
01011	0   0  1  0  0		01011 xnor 0000 = 00100
01100	0   0  0  1  1		01100 xnor 0000 = 00011
01101	0   0  0  1  0		01101 xnor 0000 = 00010
01110	0   0  0  0  1		01110 xnor 0000 = 00001
01111	0   0  0  0  0		01111 xnor 0000 = 00000

10000	1   0  0  0  0		10000 xnor 1111 = 10000
10001	1   0  0  0  1		10001 xnor 1111 = 10001
10010	1   0  0  1  0		10010 xnor 1111 = 10010
10011	1   0  0  1  1		10011 xnor 1111 = 10011
10100	1   0  1  0  0		10100 xnor 1111 = 10100
10101	1   0  1  0  1		10101 xnor 1111 = 10101
10110	1   0  1  1  0		10110 xnor 1111 = 10110
10111	1   0  1  1  1		10111 xnor 1111 = 10111
11000	1   1  0  0  0		11000 xnor 1111 = 11000
11001	1   1  0  0  1		11001 xnor 1111 = 11001
11010	1   1  0  1  0		11010 xnor 1111 = 11010
11011	1   1  0  1  1		11011 xnor 1111 = 11011
11100	1   1  1  0  0		11100 xnor 1111 = 11100
11101	1   1  1  0  1		11101 xnor 1111 = 11101
11110	1   1  1  1  0		11110 xnor 1111 = 11110
11111	1   1  1  1  1 		11111 xnor 1111 = 11111
